opening_eco,opening_name,avg_rating_delta,w_win_rate,b_win_rate,n_games_played,avg_white_rating,avg_black_rating,cluster
A40,Englund Gambit,127.91428571428573,60.0,40.0,35,1485.857142857143,1463.0285714285717,1
A40,Horwitz Defense,87.81564245810056,53.63128491620112,46.36871508379888,179,1593.4078212290503,1560.1508379888269,4
A40,Polish Defense,139.58333333333334,91.66666666666669,8.333333333333334,12,1656.0833333333333,1517.0,2
A40,Queen's Pawn,118.80597014925372,68.65671641791045,31.34328358208955,67,1584.6268656716418,1528.0298507462687,2
A41,Old Indian Defense,97.75,50.0,50.0,16,1647.5,1514.125,3
A41,Queen's Pawn,30.11764705882353,61.76470588235294,38.23529411764706,34,1557.9117647058824,1531.1470588235295,1
A43,Benoni Defense: Benoni Gambit Accepted,52.642857142857146,50.0,50.0,14,1615.2142857142858,1601.857142857143,3
A45,Trompowsky Attack,-19.2,66.66666666666667,33.333333333333336,15,1842.5333333333333,1828.5333333333333,0
A53,Old Indian Defense,74.3,80.0,20.0,10,1641.3,1636.4,2
A80,Dutch Defense,38.46428571428572,60.71428571428572,39.285714285714285,28,1723.4642857142858,1651.357142857143,3
A85,Dutch Defense: Queen's Knight Variation,93.8,52.0,48.0,25,1772.92,1764.08,3
B00,Barnes Defense,142.21428571428572,71.42857142857143,28.571428571428573,14,1553.2142857142858,1377.428571428571,2
B00,Caro-Kann Defense: Hillbilly Attack,109.58823529411764,50.0,50.0,34,1509.7058823529412,1510.1176470588234,1
B00,Goldsmith Defense,67.72727272727273,63.63636363636363,36.36363636363637,11,1357.7272727272727,1292.909090909091,1
B00,King's Pawn,141.9,90.0,10.0,10,1463.4,1353.5,2
B00,King's Pawn Game: Nimzowitsch Defense,163.88888888888889,59.25925925925926,40.74074074074074,27,1459.6666666666667,1376.074074074074,1
B00,Nimzowitsch Defense,131.5483870967742,74.19354838709677,25.806451612903224,31,1476.1290322580646,1357.9354838709678,2
B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation,158.88235294117646,76.47058823529412,23.529411764705884,17,1462.470588235294,1343.470588235294,2
B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,48.5,61.11111111111112,38.888888888888886,36,1572.75,1538.361111111111,1
B00,Nimzowitsch Defense: Scandinavian Variation |  Advance Variation,84.61904761904762,80.95238095238095,19.047619047619047,21,1562.190476190476,1485.7619047619048,2
B00,St. George Defense,156.39285714285714,64.28571428571429,35.714285714285715,28,1596.7142857142858,1461.678571428571,2
B01,Scandinavian Defense: Main Line,81.73584905660377,62.264150943396224,37.735849056603776,53,1613.2641509433963,1645.6037735849056,3
B01,Scandinavian Defense: Mieses-Kotroc Variation,90.29702970297028,63.86138613861386,36.13861386138614,202,1538.1138613861383,1484.638613861386,4
B02,Alekhine Defense: Maroczy Variation,130.21428571428572,50.0,50.0,14,1428.7857142857142,1493.571428571429,1
B02,Alekhine Defense: Two Pawn Attack,93.3846153846154,53.84615384615385,46.15384615384615,13,1663.076923076923,1651.3846153846157,3
B06,Modern Defense,131.88732394366198,52.11267605633803,47.88732394366197,71,1494.943661971831,1522.43661971831,4
